sigma,prevalence,n,info,anchor,lam,rel_mean,rel_median,rel_p90,share_worse,max_weight_p90
0.0,0.7,400,COR-500,PPS-A,0.75,1.0024191789107926,1.001959393251732,1.005113519317004,1.0,17398.226311456758
0.0,0.7,400,COR-500,PPS-A,1.0,1.0044171333751188,1.0035038211036231,1.009437193651431,1.0,18212.08484999097
0.0,0.7,400,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.7,400,MIS-G-2000,PPS-A,0.25,1.0000193733405678,1.0000118514642125,1.000050053346085,1.0,15529.195680588857
0.0,0.7,400,MIS-G-2000,PPS-A,0.5,1.000077554983799,1.0000474334115683,1.0002003055123216,1.0,15721.516468689319
0.0,0.7,400,MIS-G-2000,PPS-A,0.75,1.00017464347109,1.0001067596955,1.0004510188632574,1.0,15918.660790237405
0.0,0.7,400,MIS-G-2000,PPS-A,1.0,1.0003107582978865,1.0001898474606286,1.000802514524053,1.0,16120.812424635373
0.75,0.05,100,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.05,100,COR-10000,PPS-A,0.25,0.9297652364023619,0.9298147442136833,0.9333174906703072,0.0,61155.67177449199
0.75,0.05,100,COR-10000,PPS-A,0.5,0.8903886757800996,0.8903411049055818,0.8943963539935212,0.0,67436.3174986514
0.75,0.05,100,COR-10000,PPS-A,0.75,0.8694086413363139,0.8692525780957806,0.8723046698696242,0.0,96371.66848022245
0.75,0.05,100,COR-10000,PPS-A,1.0,0.863178438805232,0.862766042467286,0.8648937229700483,0.0,168799.66986101674
0.75,0.05,100,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.05,100,COR-2000,PPS-A,0.25,0.9294028893635619,0.9288408273456633,0.937866492728783,0.0,63455.06476219505
0.75,0.05,100,COR-2000,PPS-A,0.5,0.8915849940878333,0.8913095800519026,0.9019577359224252,0.0,69571.17154120674
0.75,0.05,100,COR-2000,PPS-A,0.75,0.8733890632218926,0.8725416501052012,0.8812947181721524,0.0,102781.64094296248
0.75,0.05,100,COR-2000,PPS-A,1.0,0.8718185160058753,0.870130780444664,0.8820372567057194,0.0,201272.96675177122
0.75,0.05,100,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.05,100,COR-500,PPS-A,0.25,0.9329798958683572,0.9315723227234529,0.9505133114370912,0.005,70663.13208858494
0.75,0.05,100,COR-500,PPS-A,0.5,0.9045834857053187,0.9001194057679212,0.930203866128863,0.005,83280.18378618539
0.75,0.05,100,COR-500,PPS-A,0.75,0.9043407427994336,0.8899193496872213,0.9384580235993815,0.035,128757.12786940901
0.75,0.05,100,COR-500,PPS-A,1.0,4.171087381932133,0.9047956886868284,1.0014017668064654,0.105,524557.1249265232
0.75,0.05,100,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.05,100,MIS-G-2000,PPS-A,0.25,0.9528638567998735,0.9529549364815593,0.9590509124302569,0.0,71847.22278644644
0.75,0.05,100,MIS-G-2000,PPS-A,0.5,0.9229087795022862,0.922891209818181,0.9306897562141923,0.0,86646.09457208916
0.75,0.05,100,MIS-G-2000,PPS-A,0.75,0.9062647874858422,0.9056327640119449,0.9132899036510227,0.0,109122.90098315608
