scenario_id,estimand,estimator,sampling_design,design_label,inference_method,anticipated_variance_rank,empirical_rmse_rank,interval_width_rank,coverage_lb90,coverage_lb90_ci,coverage_2s95,decision_metric_rank,weight_instability_rank,anticipated_variance,empirical_rmse,mean_width95,lb_shortfall,max_weight,rel_bias,material_undercoverage,notes
S8,dollars,EXP,ST-PROP,ST-PROP/EXP,Wald LB90/2s95; SRSWOR/stratified var est,10.0,9.0,9.0,0.9116,"[0.906,0.917]",0.9041,7.0,5.0,791202287569.3286,889020.3399246124,3023457.0673603746,989503.0495601428,222.5,-0.0001732657806263,False,
S8,dollars,EXP,ST-EQD,ST-EQD/EXP,Wald LB90/2s95; SRSWOR/stratified var est,2.0,2.0,2.0,0.9118,"[0.906,0.917]",0.9462,2.0,8.0,196581934245.70633,441628.7613455427,1722683.365935592,564323.2731659565,634.7,-0.000187524034484,False,
S8,rate,HT,EQ-P,EQ-P/HT,Wald LB90/2s95; Poisson HT var est,11.0,11.0,11.0,0.9333,"[0.928,0.938]",0.9469,11.0,1.0,995000.0,989.6694397625906,3882.677887944271,1274.353306103905,200.0,-0.0009989969909728,False,
S8,rate,HT,PPS-A,PPS-A/HT,Wald LB90/2s95; Poisson HT var est,12.0,12.0,12.0,0.9658,"[0.962,0.969]",0.8783,12.0,12.0,1801318.486937094,1319.2468848929032,4336.8279080508355,1440.1623010752592,61366.09412681075,-0.0044759531727136,False,
S8,rate,HT,RA-OR,RA-OR/HT,Wald LB90/2s95; Poisson HT var est,7.0,7.0,8.0,0.9283,"[0.923,0.933]",0.9419,8.0,9.0,795604.3375550131,879.1470680319834,3449.485042307441,1139.8416898684045,301.13179799536505,-0.002425912187032,False,
S8,rate,HT,RA-EST(STRAT-2000),RA-EST(STRAT-2000)/HT,Wald LB90/2s95; Poisson HT var est,8.0,8.0,9.0,0.9284,"[0.923,0.933]",0.9415,9.0,8.0,840021.4313825439,903.1432009897364,3547.141902970689,1167.413736357485,297.81014013318463,-0.0015522616344995,False,
S8,rate,HT,DEF-0.5(STRAT-2000),DEF-0.5(STRAT-2000)/HT,Wald LB90/2s95; Poisson HT var est,10.0,10.0,10.0,0.9277,"[0.922,0.933]",0.9447,10.0,6.0,872132.786509894,922.51981673583,3630.458489718122,1187.2239982026897,239.29616062039977,-6.206462554453477e-05,False,
S8,rate,DIFF,EQ-P,EQ-P/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,5.0,4.0,5.0,0.9169,"[0.911,0.922]",0.9517,4.0,1.0,534345.0215022049,717.8574745963306,2823.135309865711,926.0801397272857,200.0,-0.0006230010914139,False,
S8,rate,DIFF,RA-EST,RA-EST/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,2.0,2.0,2.0,0.9192,"[0.914,0.924]",0.95,2.0,10.0,512126.6967320065,702.5384147042848,2753.245181552627,900.396071485918,336.45086665094357,-5.435135185001245e-05,False,
S8,rate,DIFF,DEF-0.5,DEF-0.5/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,3.0,3.0,3.0,0.9183,"[0.913,0.924]",0.9497,3.0,7.0,517247.1686834094,702.7658505191107,2771.221783361636,906.8328364910764,250.87168940394673,-0.0001666143292177,False,
S8,rate,EXP,SRSWOR,SRSWOR/EXP,Wald LB90/2s95; SRSWOR/stratified var est,6.0,6.0,6.0,0.9003,"[0.894,0.906]",0.9458,6.0,1.0,746263.6560021618,865.6324855272011,3373.9895661902847,1115.4465983632876,200.0,-0.0024834503510531,False,
S8,rate,DIFF,SRSWOR,SRSWOR/DIFF(STRAT-2000),Wald LB90/2s95; residual var est,4.0,5.0,4.0,0.9127,"[0.907,0.918]",0.9434,5.0,1.0,534068.0277877118,729.9788705055837,2822.4041405083576,936.481629151891,200.0,-0.0027575111009083,False,
S8,rate,EXP,ST-PROP,ST-PROP/EXP,Wald LB90/2s95; SRSWOR/stratified var est,1.0,1.0,1.0,0.9118,"[0.906,0.917]",0.9423,1.0,5.0,472460.771614507,687.3089729018226,2661.2900420515416,877.5645928780187,222.5,-0.0015050310602861,False,
S8,rate,EXP,ST-EQD,ST-EQD/EXP,Wald LB90/2s95; SRSWOR/stratified var est,9.0,9.0,7.0,0.9452,"[0.941,0.949]",0.8754,7.0,11.0,847353.6823688908,916.489348107358,3426.91583980636,1137.295898461458,634.7,-0.0033953831494483,False,
