dgp,sigma,prevalence,n,estimand,design,AV
STRATCAP,0.0,0.05,100,dollars,SRSWOR/DIFF,182255093669.85654
STRATCAP,0.0,0.05,100,dollars,ST-PROP/DIFF,197615105201.32288
STRATCAP,0.0,0.05,100,dollars,ST-EQD/DIFF,55680756507.999725
STRATCAP,0.0,0.05,100,dollars,PPS-A/DIFF(fixed),48401626052.021355
STRATCAP,0.0,0.05,400,rate,SRSWOR/DIFF,46550.0
STRATCAP,0.0,0.05,400,rate,ST-PROP/DIFF,46551.36524187942
STRATCAP,0.0,0.05,400,rate,ST-EQD/DIFF,106387.1833125
STRATCAP,0.0,0.05,400,rate,PPS-A/DIFF(fixed),196620.26179200577
STRATCAP,0.0,0.05,400,dollars,SRSWOR/DIFF,44876882360.91946
STRATCAP,0.0,0.05,400,dollars,ST-PROP/DIFF,44436555313.2368
STRATCAP,0.0,0.05,400,dollars,ST-EQD/DIFF,13233298070.455246
STRATCAP,0.0,0.05,400,dollars,PPS-A/DIFF(fixed),11413962496.704485
STRATCAP,0.0,0.25,100,rate,SRSWOR/DIFF,746250.0000000001
STRATCAP,0.0,0.25,100,rate,ST-PROP/DIFF,746724.7834292764
STRATCAP,0.0,0.25,100,rate,ST-EQD/DIFF,1691047.63125
STRATCAP,0.0,0.25,100,rate,PPS-A/DIFF(fixed),3115781.5668292665
STRATCAP,0.0,0.25,100,dollars,SRSWOR/DIFF,719428001328.381
STRATCAP,0.0,0.25,100,dollars,ST-PROP/DIFF,780059625794.6957
STRATCAP,0.0,0.25,100,dollars,ST-EQD/DIFF,219792459899.99893
STRATCAP,0.0,0.25,100,dollars,PPS-A/DIFF(fixed),191059050205.34744
STRATCAP,0.0,0.25,400,rate,SRSWOR/DIFF,183750.00000000003
STRATCAP,0.0,0.25,400,rate,ST-PROP/DIFF,183755.389112682
STRATCAP,0.0,0.25,400,rate,ST-EQD/DIFF,419949.4078125
STRATCAP,0.0,0.25,400,rate,PPS-A/DIFF(fixed),776132.612336865
STRATCAP,0.0,0.25,400,dollars,SRSWOR/DIFF,177145588266.78726
STRATCAP,0.0,0.25,400,dollars,ST-PROP/DIFF,175407455183.82953
STRATCAP,0.0,0.25,400,dollars,ST-EQD/DIFF,52236702909.691765
STRATCAP,0.0,0.25,400,dollars,PPS-A/DIFF(fixed),45055115118.57034
STRATCAP,0.0,0.7,100,rate,SRSWOR/DIFF,835799.9999999999
STRATCAP,0.0,0.7,100,rate,ST-PROP/DIFF,836331.7574407893
STRATCAP,0.0,0.7,100,rate,ST-EQD/DIFF,1893973.3469999991
STRATCAP,0.0,0.7,100,rate,PPS-A/DIFF(fixed),3489675.3548487765
STRATCAP,0.0,0.7,100,dollars,SRSWOR/DIFF,805759361487.7863
STRATCAP,0.0,0.7,100,dollars,ST-PROP/DIFF,873666780890.0588
STRATCAP,0.0,0.7,100,dollars,ST-EQD/DIFF,246167555087.99872
STRATCAP,0.0,0.7,100,dollars,PPS-A/DIFF(fixed),213986136229.98904
STRATCAP,0.0,0.7,400,rate,SRSWOR/DIFF,205799.99999999997
STRATCAP,0.0,0.7,400,rate,ST-PROP/DIFF,205806.03580620373
