dgp,sigma,prevalence,n0,estimand,design_estimator,n_equal_precision
MAIN,1.5,0.05,100,dollars,ST-PROP/EXP,90.07357812297955
MAIN,1.5,0.05,100,dollars,ST-EQD/EXP,19.376946166830578
MAIN,1.5,0.05,100,dollars,PPS-A/HT,17.99888748681936
MAIN,1.5,0.05,100,dollars,RA-OR/HT,12.115196976260052
MAIN,1.5,0.05,100,dollars,EQ-P/DIFF-OR,65.3162446093653
MAIN,1.5,0.05,100,dollars,SRSWOR/DIFF-OR,65.3162446093653
MAIN,1.5,0.05,100,dollars,RA-OR/DIFF-OR,10.0
MAIN,1.5,0.05,400,rate,EQ-P/HT,420.6049446759706
MAIN,1.5,0.05,400,rate,SRSWOR/EXP,399.99999977766436
MAIN,1.5,0.05,400,rate,ST-PROP/EXP,394.47415909763214
MAIN,1.5,0.05,400,rate,ST-EQD/EXP,683.6681458325426
MAIN,1.5,0.05,400,rate,PPS-A/HT,917.7485955100259
MAIN,1.5,0.05,400,rate,RA-OR/HT,251.7891239200995
MAIN,1.5,0.05,400,rate,EQ-P/DIFF-OR,305.4987697069366
MAIN,1.5,0.05,400,rate,SRSWOR/DIFF-OR,305.4987697069366
MAIN,1.5,0.05,400,rate,RA-OR/DIFF-OR,214.85159695072784
MAIN,1.5,0.05,400,dollars,EQ-P/HT,406.328188680123
MAIN,1.5,0.05,400,dollars,SRSWOR/EXP,399.99999977766436
MAIN,1.5,0.05,400,dollars,ST-PROP/EXP,360.83428114462885
MAIN,1.5,0.05,400,dollars,ST-EQD/EXP,77.62394435003878
MAIN,1.5,0.05,400,dollars,PPS-A/HT,71.97811624105
MAIN,1.5,0.05,400,dollars,RA-OR/HT,48.44905315075141
MAIN,1.5,0.05,400,dollars,EQ-P/DIFF-OR,262.6382366280757
MAIN,1.5,0.05,400,dollars,SRSWOR/DIFF-OR,262.6382366280757
MAIN,1.5,0.05,400,dollars,RA-OR/DIFF-OR,38.39282659575858
MAIN,1.5,0.25,100,rate,EQ-P/HT,133.1096900618586
MAIN,1.5,0.25,100,rate,SRSWOR/EXP,100.00000000000001
MAIN,1.5,0.25,100,rate,ST-PROP/EXP,95.55324737091858
MAIN,1.5,0.25,100,rate,ST-EQD/EXP,191.9907717886979
MAIN,1.5,0.25,100,rate,PPS-A/HT,329.49967680327256
MAIN,1.5,0.25,100,rate,RA-OR/HT,108.16892085422795
MAIN,1.5,0.25,100,rate,EQ-P/DIFF-OR,73.01129874306532
MAIN,1.5,0.25,100,rate,SRSWOR/DIFF-OR,73.01129874306531
MAIN,1.5,0.25,100,rate,RA-OR/DIFF-OR,65.81897124491127
MAIN,1.5,0.25,100,dollars,EQ-P/HT,108.42942845623494
MAIN,1.5,0.25,100,dollars,SRSWOR/EXP,100.0
MAIN,1.5,0.25,100,dollars,ST-PROP/EXP,41.95258449392445
MAIN,1.5,0.25,100,dollars,ST-EQD/EXP,16.924006720903176
MAIN,1.5,0.25,100,dollars,PPS-A/HT,22.381349410849296
MAIN,1.5,0.25,100,dollars,RA-OR/HT,19.653741665639167
MAIN,1.5,0.25,100,dollars,EQ-P/DIFF-OR,40.70091958341627
MAIN,1.5,0.25,100,dollars,SRSWOR/DIFF-OR,40.70091958341628
MAIN,1.5,0.25,100,dollars,RA-OR/DIFF-OR,10.0
MAIN,1.5,0.25,400,rate,EQ-P/HT,529.7943389977016
