dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh
MAIN,0.0,0.25,400,rate,EQ-P,DIFF-OR,183750.00000000003,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
MAIN,0.0,0.25,400,rate,SRSWOR,DIFF-OR,183750.00000000003,,,,,,,,
MAIN,0.0,0.25,400,rate,RA-OR,DIFF-OR,183750.00000000003,0.02,0.02,50.0,0.0,0.0,19.798989873223334,183740.81250000003,
MAIN,0.0,0.25,400,dollars,EQ-P,HT,236194117689.04974,0.02,0.02,50.0,0.0,0.0,19.798989873223334,220284140871.16055,
MAIN,0.0,0.25,400,dollars,SRSWOR,EXP,220295155628.942,,,,,,,,
MAIN,0.0,0.25,400,dollars,ST-PROP,EXP,183308173859.48898,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]"
MAIN,0.0,0.25,400,dollars,ST-EQD,EXP,54467454715.37149,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]"
MAIN,0.0,0.25,400,dollars,PPS-A,HT,60082240612.36988,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,45055115118.57033,
MAIN,0.0,0.25,400,dollars,RA-OR,HT,60082240612.36987,6.518257446423344e-05,0.7548035511562712,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,45055115118.57033,
MAIN,0.0,0.25,400,dollars,DEF-0.25-OR,HT,104663557143.34357,0.015016295643616057,0.2037008877890678,66.5943201794335,0.2762640542931927,0.0,19.764697284325294,89137852612.117,
MAIN,0.0,0.25,400,dollars,DEF-0.5-OR,HT,77468526949.53625,0.010032591287232117,0.3874017755781356,99.67514586910768,0.5175741825262512,0.0,19.661460651845335,62217252711.42398,
MAIN,0.0,0.25,400,dollars,DEF-0.75-OR,HT,65095359264.47218,0.005048886930848175,0.5711026633672034,198.06345709389998,0.8337664922857715,0.0,19.488184334851216,50011023947.334496,
MAIN,0.0,0.25,400,dollars,EQ-P,DIFF-OR,177145588266.7873,0.02,0.02,50.0,0.0,0.0,19.798989873223334,177136730987.37396,
MAIN,0.0,0.25,400,dollars,SRSWOR,DIFF-OR,177145588266.78726,,,,,,,,
