dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh,de,AV_srs,AV_eqp,rel_SRSWOR,rel_EQP,relfix_SRSWOR
STRATCAP,1.5,0.05,400,rate,DEF-0.75-OR,HT,23822.20363066283,0.0120029566052223,0.0851159153212822,83.3128064101232,0.5739093680239509,0.0,19.67495371413754,21519.548180653197,,DEF-0.75-OR/HT,46550.71504859181,49000.00000000001,0.5117473191506532,0.48616742103393523,0.46228179649206436
STRATCAP,1.5,0.05,400,rate,EQ-P,DIFF-OR,32249.743212553367,0.02,0.02,50.0,0.0,0.0,19.798989873223334,32248.13072539274,,EQ-P/DIFF-OR,46550.71504859181,49000.00000000001,0.692787278968531,0.658158024745987,0.6927526396045826
STRATCAP,1.5,0.05,400,rate,SRSWOR,DIFF-OR,32249.743212553367,,,,,,,,,SRSWOR/DIFF-OR,46550.71504859181,49000.00000000001,0.692787278968531,0.658158024745987,
STRATCAP,1.5,0.05,400,rate,RA-OR,DIFF-OR,18735.02180352803,0.0103484321406218,0.067200352979117,96.63299584046052,0.6869173989269016,0.0,19.657694653028766,18733.48061085526,,RA-OR/DIFF-OR,46550.71504859181,49000.00000000001,0.40246474804890836,0.38234738374546995,0.40243164022937944
STRATCAP,1.5,0.05,400,dollars,EQ-P,HT,461627288063.6376,0.02,0.02,50.0,0.0,0.0,19.798989873223334,448592251699.7851,,EQ-P/HT,448614682433.90686,461627288063.6376,1.0290061964961386,1.0,0.9999499999999999
STRATCAP,1.5,0.05,400,dollars,SRSWOR,EXP,448614682433.90686,,,,,,,,,SRSWOR/EXP,448614682433.90686,461627288063.6376,1.0,0.9718114462333586,
STRATCAP,1.5,0.05,400,dollars,ST-PROP,EXP,224851331899.21652,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]",ST-PROP/EXP,448614682433.90686,461627288063.6376,0.501212601155432,0.48708414279924384,
STRATCAP,1.5,0.05,400,dollars,ST-EQD,EXP,33323027526.803257,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]",ST-EQD/EXP,448614682433.90686,461627288063.6376,0.07427984154689954,0.07218600023967715,
STRATCAP,1.5,0.05,400,dollars,PPS-A,HT,49322200140.63785,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,39193818785.692245,,PPS-A/HT,448614682433.90686,461627288063.6376,0.10994334798193849,0.10684420400606505,0.08736633088567394
STRATCAP,1.5,0.05,400,dollars,RA-OR,HT,29355638656.494663,1.2266839331462557e-05,1.0,81520.59165193056,4.504560780903287,5.0,17.51905724194115,21187581689.23562,,RA-OR/HT,448614682433.90686,461627288063.6376,0.06543619682090888,0.06359164506853816,0.047228908278892826
STRATCAP,1.5,0.05,400,dollars,DEF-0.25-OR,HT,88816610174.80244,0.0150030667098328,0.265,66.65303963119818,0.410505862539359,0.0,19.664240016217263,77507703620.80074,,DEF-0.25-OR/HT,448614682433.90686,461627288063.6376,0.19797972213690876,0.19239896009474777,0.1727712147098969
STRATCAP,1.5,0.05,400,dollars,DEF-0.5-OR,HT,51428220126.44991,0.0100061334196657,0.51,99.9387033991204,0.750948444361081,0.0,19.2543330619786,41465268515.9124,,DEF-0.5-OR/HT,448614682433.90686,461627288063.6376,0.11463784432429201,0.11140636928586484,0.09242958409418836
STRATCAP,1.5,0.05,400,dollars,DEF-0.75-OR,HT,36313530806.90309,0.0050092001294985,0.755,199.63267071545343,1.2638209817290116,0.0,18.551038211879295,27388275256.88581,,DEF-0.75-OR/HT,448614682433.90686,461627288063.6376,0.08094592582188405,0.07866417723966329,0.06105077771483961
STRATCAP,1.5,0.05,400,dollars,EQ-P,DIFF-OR,175880620297.174,0.02,0.02,50.0,0.0,0.0,19.798989873223334,175871826266.15915,,EQ-P/DIFF-OR,448614682433.90686,461627288063.6376,0.3920527507993143,0.3810013507540482,0.3920331481617743
STRATCAP,1.5,0.05,400,dollars,SRSWOR,DIFF-OR,175880620297.17398,,,,,,,,,SRSWOR/DIFF-OR,448614682433.90686,461627288063.6376,0.39205275079931423,0.3810013507540481,
STRATCAP,1.5,0.05,400,dollars,RA-OR,DIFF-OR,18254757632.30632,1.621456452141063e-05,1.0,61672.948334785266,3.8878520252319047,3.0,18.308886547779014,18249560218.37716,,RA-OR/DIFF-OR,448614682433.90686,461627288063.6376,0.04069139586173875,0.039544364261650436,0.040679810387315656
STRATCAP,1.5,0.25,100,rate,EQ-P,HT,995000.0,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746226.3428193616,,EQ-P/HT,746263.6560021618,995000.0,1.333308934445975,1.0,0.9999499999999999
STRATCAP,1.5,0.25,100,rate,SRSWOR,EXP,746263.6560021618,,,,,,,,,SRSWOR/EXP,746263.6560021618,995000.0,1.0,0.7500137246252883,
STRATCAP,1.5,0.25,100,rate,ST-PROP,EXP,472460.771614507,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]",ST-PROP/EXP,746263.6560021618,995000.0,0.6331016763506145,0.4748349463462382,
STRATCAP,1.5,0.25,100,rate,ST-EQD,EXP,847353.6823688908,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]",ST-EQD/EXP,746263.6560021618,995000.0,1.135461543053406,0.8516117410742622,
STRATCAP,1.5,0.25,100,rate,PPS-A,HT,1801318.486937094,1.629564361605836e-05,0.1887008877890677,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,1552497.3618910946,,PPS-A/HT,746263.6560021618,995000.0,2.413782947151691,1.8103703386302452,2.0803604053399023
STRATCAP,1.5,0.25,100,rate,RA-OR,HT,795604.3375550131,0.0033208050649483,0.0110382596780608,301.13179799536505,0.446767213087406,0.0,9.968724681839706,547812.6103015532,,RA-OR/HT,746263.6560021618,995000.0,1.0661169563277089,0.7996023493015207,0.7340738168012382
STRATCAP,1.5,0.25,100,rate,DEF-0.25-OR,HT,895275.4438664784,0.004580201266237,0.0065095649195152,218.33101688598123,0.1176127528788906,0.0,9.97457853678014,646805.6792772731,,DEF-0.25-OR/HT,746263.6560021618,995000.0,1.199677133766092,0.8997743154436969,0.866725418121393
STRATCAP,1.5,0.25,100,rate,DEF-0.5-OR,HT,836921.6632285434,0.0041604025324741,0.0080191298390304,240.3613573913745,0.2271732192059102,0.0,9.973408040663935,588716.7926072261,,DEF-0.5-OR/HT,746263.6560021618,995000.0,1.1214825437326656,0.8411272997271793,0.7888857883835102
STRATCAP,1.5,0.25,100,rate,DEF-0.75-OR,HT,805601.0693601314,0.0037406037987112,0.0095286947585456,267.33651939949755,0.3352287871644305,0.0,9.97145690847406,557622.1910187227,,DEF-0.75-OR/HT,746263.6560021618,995000.0,1.079512666710648,0.8096493159398306,0.7472187430458322
STRATCAP,1.5,0.25,100,rate,EQ-P,DIFF-OR,473143.612764957,0.005,0.005,200.0,0.0,0.0,9.974968671630002,473119.9555843188,,EQ-P/DIFF-OR,746263.6560021618,995000.0,0.6340166896236823,0.4755212188592533,0.6339849887892011
