dgp,sigma,prevalence,n,estimand,best_conv,AV_best_conv,AV_srswor,AV_raor_fixed,AV_raor_diff_fixed,AV_raor_poisson,AV_eqp_poisson,AV_best_conv_diff_or,AV_best_conv_diff_family
STRATCAP,0.75,0.05,400,dollars,PPS-A/HT(fixed),26290578323.586903,226388435331.7312,20876095920.85859,20272566199.2079,24319833738.43199,230948471507.31613,23683573091.557995,23683573091.557995
STRATCAP,0.75,0.05,400,rate,ST-PROP/EXP,43225.51934074165,46550.160044439406,38056.6412334472,37373.77744740952,40468.35783678328,49000.0,43225.519340741645,43225.519340741645
STRATCAP,0.75,0.25,100,dollars,PPS-A/HT(fixed),253141392703.62695,2371962884868.183,221303839715.19617,197149151717.5684,436088321792.34454,2594536917413.222,199653312063.47327,199653312063.47327
STRATCAP,0.75,0.25,100,rate,ST-PROP/EXP,650442.5000165121,746254.8989685014,674341.0499948697,637642.074478246,922785.8164875208,995000.0,648275.5289441617,648275.5289441617
STRATCAP,0.75,0.25,400,dollars,PPS-A/HT(fixed),59405418636.260315,584051162605.7336,52290757034.42723,46542368736.219894,99243786759.20096,638855823885.6677,47168455130.0031,47168455130.0031
STRATCAP,0.75,0.25,400,rate,ST-PROP/EXP,159644.32673426848,183751.2062786762,166025.9417377264,156967.3975880433,226946.45412188023,245000.00000000003,159625.6327550951,159625.6327550951
STRATCAP,0.75,0.7,100,dollars,PPS-A/HT(fixed),140338730256.89233,2860995247281.9775,135164597551.74792,109985628592.68956,845708806348.446,3584615184268.7334,123718881633.86812,123718881633.86812
STRATCAP,0.75,0.7,100,rate,ST-PROP/EXP,778931.7242360038,835802.6224406238,818372.0014391516,757098.0608146173,2768417.6883483157,2786000.000000001,778931.7242360038,778931.7242360038
STRATCAP,0.75,0.7,400,dollars,PPS-A/HT(fixed),34045802040.981903,704466166416.1653,32919792233.091583,26679913694.965176,197917345364.99316,882643939845.065,30113291539.00693,30113291539.00693
STRATCAP,0.75,0.7,400,rate,ST-PROP/EXP,193004.50104282805,205800.64572658576,201588.25175480495,186322.33574761671,681604.4220870791,686000.0000000002,192886.11400816173,192886.11400816173
STRATCAP,1.5,0.05,100,dollars,ST-EQD/EXP,147224310209.2683,1821924934782.6016,97402807271.82346,83735676047.25636,145269351301.7428,1874772047442.12,110619376858.88847,110619376858.88847
STRATCAP,1.5,0.05,100,rate,ST-EQD/EXP,89627.38735996443,189052.90397285245,85013.4243727095,76908.08474829655,94783.43904349004,199000.00000000003,89627.38735996443,89627.38735996443
STRATCAP,1.5,0.05,400,dollars,ST-EQD/EXP,33323027526.803257,448614682433.90686,21187581689.23562,18249560218.37716,29355638656.494663,461627288063.6376,24964852307.239132,24964852307.239132
STRATCAP,1.5,0.05,400,rate,ST-EQD/EXP,21913.22832143162,46550.71504859181,20679.3913310641,18733.48061085526,22945.85976087251,49000.00000000001,21913.22832143162,21913.22832143162
STRATCAP,1.5,0.25,100,dollars,ST-EQD/EXP,196581934245.70633,2961179752098.333,179573086391.70465,114882450484.40608,520962467713.5431,3315455171194.9453,129591128087.03958,129591128087.03958
STRATCAP,1.5,0.25,100,rate,ST-PROP/EXP,472460.771614507,746263.6560021618,547812.6103015532,443935.5831007309,795604.3375550131,995000.0,472460.7716145069,472460.7716145069
STRATCAP,1.5,0.25,400,dollars,ST-EQD/EXP,46395609856.05255,729134712828.2328,43468512149.01312,27673613263.2441,117745730465.22536,816368358736.4438,31350802185.141712,31350802185.141712
STRATCAP,1.5,0.25,400,rate,ST-PROP/EXP,116708.96759114234,183753.3625331956,134875.79445039175,109200.7981869702,195151.08438875325,244999.99999999997,116502.69862051708,116502.69862051708
STRATCAP,1.5,0.7,100,dollars,PPS-A/HT(fixed),110597841095.32936,2944738477162.7104,102256413654.71423,55278336179.73621,884362763930.1909,3741056805217.5767,74476054227.31146,74476054227.31146
