dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_fixed_equal_mean,rel_fixed_equal_median,rel_fixed_equal_p90,share_worse_than_equal,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_srswor_exp_mean,rel_srswor_exp_p90,rel_poisson_equal_mean,rel_poisson_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,min_pi_median
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,SRSWOR,,,,0.0,3.7679510172372535,3.7668853539433584,3.7712039841857385,1.0,0.9635973276928763,0.9644292255185896,0.9999463824532158,0.9999987310758954,,,,
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.7775962156910343,3.7726426316688615,3.792771960438024,1.0,0.9660639434775861,0.9699449140679816,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,DEF-0.25,0.4521495100893594,0.45209377810539075,0.4654860730505109,0.0,1.7080823627827,1.7045117380024286,1.7610881565194436,1.0,0.43681661272326133,0.4503720546500028,0.45238036375469215,0.4658696109144525,266.3700393142569,266.45482206446144,0.2763291736731446,0.003754175967291596
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,DEF-0.5,0.33855292456384545,0.33862666201987823,0.34711003581487077,0.0,1.2789500573982786,1.2765018337494085,1.313115954004609,1.0,0.3270724199767464,0.33580983893932903,0.33881849561119337,0.3475702133154531,398.6681399103886,399.0482115253803,0.5174451538570946,0.0025083519345831928
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,DEF-0.75,0.28682868917640425,0.28694507989316204,0.2917337727414228,0.0,1.0835557914320555,1.082180250167831,1.1039864987129224,1.0,0.2771032479598513,0.2823280969158638,0.2871087197035842,0.29225808206135956,792.0617029715543,794.3163174862369,0.8333967206999332,0.0012625279018747895
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,RA-EST,0.265916064753656,0.2658751627073986,0.26690629976725266,0.0,1.0045660557829363,1.0037147474858052,1.0100384490968146,1.0,0.25690280006696253,0.2583022831147024,0.266200789618496,0.2670405254489842,59866.37417872914,83852.34039578965,1.7754642364953652,1.6703869166385937e-05
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,SRSWOR,,,,0.0,3.7777851049462816,3.772831273232523,3.792961608518449,1.0,0.9661122490900407,0.9699934137386684,0.9996619384752724,0.9999937312401462,,,,
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.7827756203231417,3.7763552205326825,3.8014934630061954,1.0,0.9673884990356884,0.9721753083936272,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,DEF-0.25,0.45163186049906684,0.45201214503280385,0.4630540338045302,0.0,1.7084052643571417,1.7051831109750073,1.7490254287628135,1.0,0.4368991899894775,0.447287191768877,0.45184033095554055,0.4632253099274635,266.39238992823084,266.47511819709626,0.2778555592517116,0.0037538609878078368
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,DEF-0.5,0.3386445533705818,0.33894371953739033,0.346427352488821,0.0,1.2810089562405294,1.2784888682313222,1.308773390362503,1.0,0.32759895267669586,0.33469929299493467,0.33888232041878497,0.34656469767419273,398.7682884019795,399.13926847834,0.5203598105562781,0.0025077219756156734
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,DEF-0.75,0.28740638815556013,0.28761261876316735,0.29216937850254576,0.0,1.087200892715102,1.085112834406738,1.1052205855388253,1.0,0.27803542829856726,0.2826436962328775,0.2876559290793349,0.29252267248606595,792.6549652545244,794.8577423272076,0.8386896153408068,0.00126158296342351
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,RA-EST,0.2672889447161282,0.26699763238846896,0.2693233779253926,0.0,1.011133189043466,1.0089440833124033,1.0208486874247893,1.0,0.2585822465437083,0.2610668404873715,0.26754159403397776,0.2694566776379488,64750.298530286775,92748.23534885213,1.8011419304145544,1.544395123134673e-05
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,SRSWOR,,,,0.0,3.7829647685615697,3.776544047735069,3.8016835471835546,1.0,0.9674368708792324,0.9722239195896067,0.9997050174727606,0.9999954856667354,,,,
MAIN,0.0,0.05,100,dollars,EXP,COR-2000,ST-NEY-EST,,,,0.0,1.4668605330440483,1.2117650845196544,3.280760259592826,1.0,0.3751277241326178,0.839005550890254,0.3876908664577168,0.8672512145137651,,,,
MAIN,0.0,0.05,100,dollars,HT,COR-10000,DEF-0.0,0.9999499999999999,0.9999499999999999,0.9999499999999999,0.0,3.910100735446701,3.910100735446701,3.910100735446701,1.0,0.9999499999999999,0.9999499999999999,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,HT,COR-10000,DEF-0.25,0.44517762007406075,0.4450621163507294,0.45111674486378844,0.0,1.7407763784749206,1.740324724698687,1.7640001158700145,1.0,0.44517762007406075,0.45111674486378844,0.45261538233534365,0.458477197390835,266.3733064202727,266.4385377478623,0.2756787457834611,0.0037541299218108353
