dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_fixed_equal_mean,rel_fixed_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,lambda
MAIN,0.0,0.05,100,rate,DIFF,COR-500,RA-EST,22.63147622920179,1.0559624518512245,168.97750029650567,0.98,22.337981328137683,164.95614802262807,620.725800613819,324963.5412895903,0.21358594781562046,1.0
MAIN,0.0,0.05,100,rate,DIFF,KS-2000,DEF-0.0,1.003324253394603,1.0028897869669615,1.0064053609628787,1.0,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,KS-2000,DEF-0.25,1.0041317855656735,1.0035674157189836,1.0079345396459023,1.0,1.0007540648892566,1.0014185663388009,223.17293110189883,240.4681544555704,0.027242070373987855,0.25
MAIN,0.0,0.05,100,rate,DIFF,KS-2000,DEF-0.5,1.0068155949368085,1.0057430840460737,1.0128842923725818,1.0,1.0034258489311154,1.0063049836096802,252.41944493757092,301.4673424834168,0.054477800915384754,0.5
MAIN,0.0,0.05,100,rate,DIFF,KS-2000,DEF-0.75,1.011598064425432,1.0094184928645322,1.0221091437194953,1.0,1.0081865914086696,1.0144605041112202,290.4874817336455,403.93244807774465,0.08182389340992409,0.75
MAIN,0.0,0.05,100,rate,DIFF,KS-2000,RA-EST,1.0192626829489908,1.014715408791809,1.035638759114361,1.0,1.015815199283648,1.0283935054623747,342.07711136521374,611.9163625648189,0.10970254134494495,1.0
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-10000,DEF-0.0,1.000155882404686,1.0000808145339275,1.0004432532896244,0.78,0.99995,0.9999500000000002,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-10000,DEF-0.25,1.0002111781375789,1.0001167770143902,1.0005759625106285,0.82,1.000005274063047,1.0000844189509408,204.8001255154068,209.58153825333747,0.005939367740276754,0.25
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-10000,DEF-0.5,1.0003775313552445,1.000224272721151,1.0009899032407918,0.915,1.0001715618855083,1.0004884763202524,209.83635946032786,220.12735217540913,0.011878652942576898,0.5
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-10000,DEF-0.75,1.0006552524188668,1.000399454466892,1.0016499987600713,0.945,1.0004491736636894,1.0011623135014243,215.12656403252734,231.7907240273037,0.017819751381551723,0.75
