dgp,sigma,prevalence,info,estimand,fail_rate,n_pos_plan_mean,n_pos_plan_min,brier,logloss,calib_in_large,calib_slope,auc,score_pearson_HT,score_spearman_HT,score_pearson_DIFF,score_spearman_DIFF
MAIN,0.0,0.7,MIS-G-10000,dollars,0.0,7002.135,6879,0.21006267251196586,0.6110138992111122,0.00020909030544756735,,0.4998722206764415,0.9999896670366233,0.9999956097447513,0.9999815527297763,0.9999922025971553
MAIN,0.0,0.7,MIS-G-10000,rate,0.0,7002.135,6879,0.21006267251196586,0.6110138992111122,0.00020909030544756735,,0.4998722206764415,,,,
MAIN,0.0,0.7,MIS-G-2000,dollars,0.0,1398.585,1342,0.2102839171003013,0.6115392171713026,-0.0007216915961622717,,0.5000460961660143,0.9999547123551251,0.9999829273298146,0.999922213270673,0.9999702405170655
MAIN,0.0,0.7,MIS-G-2000,rate,0.0,1398.585,1342,0.2102839171003013,0.6115392171713026,-0.0007216915961622717,,0.5000460961660143,,,,
MAIN,0.0,0.7,MIS-I-2000,dollars,0.0,1399.885,1330,0.21050544326939394,0.6120685441484831,-9.325961061248112e-05,,0.500023831527616,0.9998766968072631,0.9999387230588842,0.9997816827606728,0.9998943375928733
MAIN,0.0,0.7,MIS-I-2000,rate,0.0,1399.885,1330,0.21050544326939394,0.6120685441484831,-9.325961061248112e-05,,0.500023831527616,,,,
MAIN,0.75,0.05,COR-10000,dollars,0.0,496.215,440,0.044873366689741616,0.18130822840067443,0.00012179672582639754,0.99203499034695,0.7173185839866129,0.9989411802118165,0.9994893964659833,0.9990979194855857,0.9995293164740131
MAIN,0.75,0.05,COR-10000,rate,0.0,496.215,440,0.044873366689741616,0.18130822840067443,0.00012179672582639754,0.99203499034695,0.7173185839866129,0.9933629842376156,0.9917129428267272,0.9928731944053675,0.9917118221804894
MAIN,0.75,0.05,COR-2000,dollars,0.0,97.935,73,0.0450732206798671,0.1825756137032235,-0.0005554357045838603,0.9319664328383047,0.712926233385835,0.9946796098992797,0.997313926708642,0.9955127288237255,0.9974954374410036
MAIN,0.75,0.05,COR-2000,rate,0.0,97.935,73,0.0450732206798671,0.1825756137032235,-0.0005554357045838603,0.9319664328383047,0.712926233385835,0.9694939520486979,0.9620473105795756,0.9668537358295207,0.9620308411778619
MAIN,0.75,0.05,COR-500,dollars,0.0,24.505,14,0.046023154991900836,0.1900282840391488,-0.000664905015958183,0.7196427418713618,0.6924500092027767,0.9740297869602561,0.9830605444193538,0.9780155338641338,0.9838097694645043
MAIN,0.75,0.05,COR-500,rate,0.0,24.505,14,0.046023154991900836,0.1900282840391488,-0.000664905015958183,0.7196427418713618,0.6924500092027767,0.8677560225392422,0.8529606565990774,0.8557194815712806,0.8523388471571494
MAIN,0.75,0.05,KS-2000,dollars,0.0,100.01,70,0.045150573505463004,0.18294992841391786,0.0004649612501057199,0.9003814953014634,0.7107139166183548,0.9929717791258166,0.996467878965442,0.9942581740265684,0.996732278689748
MAIN,0.75,0.05,KS-2000,rate,0.0,100.01,70,0.045150573505463004,0.18294992841391786,0.0004649612501057199,0.9003814953014634,0.7107139166183548,0.9576415059251935,0.9486457695426244,0.9544765919046193,0.9486242773689456
MAIN,0.75,0.05,MIS-G-10000,dollars,0.0,494.385,433,0.046265611810935206,0.18755227087828577,-0.0005443442906529663,0.9630430144739056,0.6897712642391858,0.9777641044383756,0.9918700104219773,0.9884139403851315,0.9931299649499347
MAIN,0.75,0.05,MIS-G-10000,rate,0.0,494.385,433,0.046265611810935206,0.18755227087828577,-0.0005443442906529663,0.9630430144739056,0.6897712642391858,0.8022516370501339,0.8937280047623724,0.8359591271267359,0.8937220257470725
MAIN,0.75,0.05,MIS-G-2000,dollars,0.0,99.16,75,0.04633890830959796,0.18809229029444263,-0.0003927659982324796,0.940313744697955,0.6880982352580283,0.9764741363071896,0.9913199610535421,0.9873477395457516,0.9926190910269226
MAIN,0.75,0.05,MIS-G-2000,rate,0.0,99.16,75,0.04633890830959796,0.18809229029444263,-0.0003927659982324796,0.940313744697955,0.6880982352580283,0.7948815301781577,0.886093654041439,0.8285894666315582,0.8860873434046382
MAIN,0.75,0.05,MIS-I-2000,dollars,0.0,100.13,78,0.04531957648219465,0.18345036958972455,0.00030540693464518854,0.8718614608700088,0.7132728552720686,0.9904087290657669,0.9953073735982808,0.9928230942674141,0.9957017011633691
