dgp,sigma,prevalence,n,estimand,estimator_family,info,baseline,oracle_gain_vs_srswor,oracle_gain_vs_bestconv,raest_rel_bestconv_mean,raest_rel_bestconv_p90,raest_share_worse,def_reliable,region
MAIN,0.0,0.7,100,dollars,DIFF,COR-2000,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.0030203529733235,1.0056673338849453,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,DIFF,COR-500,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.0146380733089273,1.0270177403203733,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,DIFF,KS-2000,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.003537846841959,1.0064164050317796,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,DIFF,MIS-G-10000,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.0002207989485203,1.0005330911916928,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,DIFF,MIS-G-2000,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.0010151021559273,1.0023999985594412,1.0,,A-conv
MAIN,0.0,0.7,100,dollars,DIFF,MIS-I-2000,best conventional (EXP or DIFF),0.9018250809788618,1.1102230246251565e-16,1.0023128192733242,1.0046081977988912,1.0,,A-conv
MAIN,0.0,0.7,100,rate,HT,COR-10000,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0001311202064875,1.0002698869320248,0.925,,A
MAIN,0.0,0.7,100,rate,HT,COR-2000,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0008215897370871,1.0016307562615752,1.0,,A
MAIN,0.0,0.7,100,rate,HT,COR-500,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0042528625439093,1.008226182750812,1.0,,A
MAIN,0.0,0.7,100,rate,HT,KS-2000,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0010142912988567,1.0018911451228483,1.0,,A
MAIN,0.0,0.7,100,rate,HT,MIS-G-10000,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0000180861090298,1.0001191437549195,0.48,,A
MAIN,0.0,0.7,100,rate,HT,MIS-G-2000,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0002693650457237,1.0007235539196335,0.825,,A
MAIN,0.0,0.7,100,rate,HT,MIS-I-2000,SRSWOR/EXP,5.000000000021654e-05,5.000000000021654e-05,1.0006632242082736,1.0013197273572048,0.985,,A
MAIN,0.0,0.7,100,rate,DIFF,COR-10000,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0005512420792457,1.0010048088249042,0.995,,A
MAIN,0.0,0.7,100,rate,DIFF,COR-2000,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0029320592278312,1.005575696034862,1.0,,A
MAIN,0.0,0.7,100,rate,DIFF,COR-500,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0142825493079,1.0262919581580547,1.0,,A
MAIN,0.0,0.7,100,rate,DIFF,KS-2000,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0034706217695746,1.0063507049510692,1.0,,A
MAIN,0.0,0.7,100,rate,DIFF,MIS-G-10000,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0001775013636838,1.0005007859680874,0.725,,A
MAIN,0.0,0.7,100,rate,DIFF,MIS-G-2000,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0010020193578968,1.0024021180605154,0.955,,A
