dgp,sigma,prevalence,n,estimand,info,estimator,design,rule,rel_mean,rel_median,rel_p90,maxw_p90,n_changed
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.5,separation-aware,0.9254546052044064,0.9229475767723389,0.9516014109083779,395.71642773790387,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.75,archived,0.9261879161331342,0.9111784816283841,0.9589041821193883,777.8235509280024,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,DEF-0.75,separation-aware,0.921727512508693,0.9111784816283841,0.9589041821193883,774.8383323486432,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,RA-EST,archived,3.48693907788907,0.9256382802351593,1.023129423513962,21044.588695565173,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,RA-EST,separation-aware,0.9637556998734786,0.9256382802351593,1.0164303354252449,18509.960993184464,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,SRSWOR,archived,1.0013585240304,1.0,1.0022495044495079,,1
MAIN,0.75,0.05,100,rate,COR-500,DIFF,SRSWOR,separation-aware,1.0013585240304,1.0,1.0022495044495079,,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.0,archived,0.9999500000000002,0.9999500000000002,0.9999500000000002,200.0,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.0,separation-aware,0.9999500000000002,0.9999500000000002,0.9999500000000002,200.0,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.25,archived,0.9283013414237858,0.9273815849787909,0.9480729559378062,265.86761637390566,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.25,separation-aware,0.9283133440008079,0.9273815849787909,0.9480729559378062,265.76002698864204,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.5,archived,0.8988401988612417,0.8944075804152194,0.9264574359380738,396.4256940612342,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.5,separation-aware,0.8980189391367002,0.8944075804152194,0.9264574359380738,395.94771892738595,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.75,archived,0.8980460115925857,0.8844821316055347,0.9344354690334876,778.930704935958,1
MAIN,0.75,0.05,100,rate,COR-500,HT,DEF-0.75,separation-aware,0.8939290504122558,0.8844821316055347,0.9344354690334876,776.1698773107903,1
MAIN,0.75,0.05,100,rate,COR-500,HT,RA-EST,archived,3.4811349942174314,0.9013641407703896,1.0096767427766307,22181.969871314035,1
MAIN,0.75,0.05,100,rate,COR-500,HT,RA-EST,separation-aware,0.9404876508696444,0.9013641407703896,1.002317743199526,19576.062463141272,1
MAIN,0.75,0.05,400,dollars,COR-500,DIFF,DEF-0.0,archived,5.249533628147158,5.154966943191738,5.491326830932839,50.0,1
MAIN,0.75,0.05,400,dollars,COR-500,DIFF,DEF-0.0,separation-aware,5.249892061698579,5.154966943191738,5.491326830932839,50.0,1
