dgp,sigma,prevalence,info,rep,n_pos,degenerate,rank_deficient,separated,sm_warning,converged,max_abs_beta,fallback,strata_all_pos,strata_all_neg
MAIN,0.0,0.05,COR-2000,16,114,False,False,False,,True,2.794721123730274,False,,
MAIN,0.0,0.05,COR-2000,17,100,False,False,False,,True,2.985684248822254,False,,
MAIN,0.0,0.05,COR-2000,18,117,False,False,False,,True,2.7030954517216443,False,,
MAIN,0.0,0.05,COR-2000,19,114,False,False,False,,True,2.8650110162096794,False,,
MAIN,0.0,0.05,COR-2000,20,108,False,False,False,,True,2.855263312146428,False,,
MAIN,0.0,0.05,COR-2000,21,102,False,False,False,,True,3.002270310781565,False,,
MAIN,0.0,0.05,COR-2000,22,104,False,False,False,,True,2.901161030881088,False,,
MAIN,0.0,0.05,COR-2000,23,98,False,False,False,,True,3.0711386490520045,False,,
MAIN,0.0,0.05,COR-2000,24,98,False,False,False,,True,2.9111870149422496,False,,
MAIN,0.0,0.05,COR-2000,25,84,False,False,False,,True,3.0865642100937922,False,,
MAIN,0.0,0.05,COR-2000,26,92,False,False,False,,True,3.049439969789576,False,,
MAIN,0.0,0.05,COR-2000,27,94,False,False,False,,True,3.025284952472747,False,,
MAIN,0.0,0.05,COR-2000,28,110,False,False,False,,True,2.9330216731823184,False,,
MAIN,0.0,0.05,COR-2000,29,106,False,False,False,,True,2.832403660094669,False,,
MAIN,0.0,0.05,COR-2000,30,104,False,False,False,,True,2.8908968240420485,False,,
MAIN,0.0,0.05,COR-2000,31,99,False,False,False,,True,2.891697954429571,False,,
MAIN,0.0,0.05,COR-2000,32,101,False,False,False,,True,2.8794961158844363,False,,
MAIN,0.0,0.05,COR-2000,33,81,False,False,False,,True,3.1554639911612905,False,,
MAIN,0.0,0.05,COR-2000,34,85,False,False,False,,True,2.9706139808285847,False,,
MAIN,0.0,0.05,COR-2000,35,110,False,False,False,,True,3.04433885826736,False,,
MAIN,0.0,0.05,COR-2000,36,110,False,False,False,,True,2.8639609390136105,False,,
MAIN,0.0,0.05,COR-2000,37,112,False,False,False,,True,2.765634732846942,False,,
MAIN,0.0,0.05,COR-2000,38,128,False,False,False,,True,2.698793509514998,False,,
MAIN,0.0,0.05,COR-2000,39,106,False,False,False,,True,2.9965457383238974,False,,
MAIN,0.0,0.05,COR-2000,40,86,False,False,False,,True,2.9885165707206047,False,,
MAIN,0.0,0.05,COR-2000,41,99,False,False,False,,True,2.9890764659781635,False,,
MAIN,0.0,0.05,COR-2000,42,117,False,False,False,,True,2.860181670639147,False,,
MAIN,0.0,0.05,COR-2000,43,96,False,False,False,,True,3.0051359111849116,False,,
MAIN,0.0,0.05,COR-2000,44,88,False,False,False,,True,2.9424403045757783,False,,
MAIN,0.0,0.05,COR-2000,45,96,False,False,False,,True,3.0490863741024947,False,,
MAIN,0.0,0.05,COR-2000,46,125,False,False,False,,True,2.6980679148898874,False,,
MAIN,0.0,0.05,COR-2000,47,112,False,False,False,,True,2.740555469387001,False,,
MAIN,0.0,0.05,COR-2000,48,93,False,False,False,,True,3.0502590171644415,False,,
MAIN,0.0,0.05,COR-2000,49,109,False,False,False,,True,2.9873084744718876,False,,
MAIN,0.0,0.05,COR-2000,50,101,False,False,False,,True,2.981806468318827,False,,
MAIN,0.0,0.05,COR-2000,51,90,False,False,False,,True,3.361191123009961,False,,
MAIN,0.0,0.05,COR-2000,52,111,False,False,False,,True,2.9447059689738917,False,,
MAIN,0.0,0.05,COR-2000,53,103,False,False,False,,True,2.9261883782886855,False,,
MAIN,0.0,0.05,COR-2000,54,102,False,False,False,,True,2.8424925600613395,False,,
MAIN,0.0,0.05,COR-2000,55,104,False,False,False,,True,2.9620735464671077,False,,
MAIN,0.0,0.05,COR-2000,56,120,False,False,False,,True,2.7487161229526644,False,,
MAIN,0.0,0.05,COR-2000,57,93,False,False,False,,True,2.9613093232779826,False,,
MAIN,0.0,0.05,COR-2000,58,97,False,False,False,,True,2.9266755387874515,False,,
MAIN,0.0,0.05,COR-2000,59,97,False,False,False,,True,2.868368461794211,False,,
MAIN,0.0,0.05,COR-2000,60,109,False,False,False,,True,2.98821095673422,False,,
MAIN,0.0,0.05,COR-2000,61,97,False,False,False,,True,3.028809388602464,False,,
MAIN,0.0,0.05,COR-2000,62,87,False,False,False,,True,3.088188700350653,False,,
MAIN,0.0,0.05,COR-2000,63,94,False,False,False,,True,3.0989745021221298,False,,
MAIN,0.0,0.05,COR-2000,64,102,False,False,False,,True,2.9262682099299875,False,,
MAIN,0.0,0.05,COR-2000,65,95,False,False,False,,True,3.049405076956513,False,,
MAIN,0.0,0.05,COR-2000,66,124,False,False,False,,True,2.5510124506121348,False,,
MAIN,0.0,0.05,COR-2000,67,112,False,False,False,,True,2.8262526205439484,False,,
MAIN,0.0,0.05,COR-2000,68,100,False,False,False,,True,2.902598596256862,False,,
MAIN,0.0,0.05,COR-2000,69,110,False,False,False,,True,2.6957934431514277,False,,
MAIN,0.0,0.05,COR-2000,70,112,False,False,False,,True,2.859744654756187,False,,
MAIN,0.0,0.05,COR-2000,71,92,False,False,False,,True,3.0833914485431686,False,,
MAIN,0.0,0.05,COR-2000,72,95,False,False,False,,True,2.9363302167660894,False,,
MAIN,0.0,0.05,COR-2000,73,112,False,False,False,,True,2.8985187395095187,False,,
MAIN,0.0,0.05,COR-2000,74,119,False,False,False,,True,2.780073306793652,False,,
MAIN,0.0,0.05,COR-2000,75,101,False,False,False,,True,2.9345489654465706,False,,
MAIN,0.0,0.05,COR-2000,76,102,False,False,False,,True,2.959779789821366,False,,
MAIN,0.0,0.05,COR-2000,77,108,False,False,False,,True,2.8030069858874844,False,,
MAIN,0.0,0.05,COR-2000,78,105,False,False,False,,True,3.084759908996419,False,,
MAIN,0.0,0.05,COR-2000,79,99,False,False,False,,True,2.904434275946359,False,,
MAIN,0.0,0.05,COR-2000,80,111,False,False,False,,True,2.860410174022484,False,,
MAIN,0.0,0.05,COR-2000,81,104,False,False,False,,True,3.0106713929279074,False,,
MAIN,0.0,0.05,COR-2000,82,95,False,False,False,,True,2.9532871816744084,False,,
MAIN,0.0,0.05,COR-2000,83,103,False,False,False,,True,2.984470777788646,False,,
MAIN,0.0,0.05,COR-2000,84,95,False,False,False,,True,3.0220207640127543,False,,
MAIN,0.0,0.05,COR-2000,85,121,False,False,False,,True,2.7088690160504507,False,,
MAIN,0.0,0.05,COR-2000,86,85,False,False,False,,True,3.1259875840573037,False,,
MAIN,0.0,0.05,COR-2000,87,86,False,False,False,,True,3.1573202821197928,False,,
MAIN,0.0,0.05,COR-2000,88,105,False,False,False,,True,2.827267598439063,False,,
MAIN,0.0,0.05,COR-2000,89,91,False,False,False,,True,2.969709271688424,False,,
MAIN,0.0,0.05,COR-2000,90,111,False,False,False,,True,2.9458655645797243,False,,
MAIN,0.0,0.05,COR-2000,91,119,False,False,False,,True,2.705879008441826,False,,
MAIN,0.0,0.05,COR-2000,92,99,False,False,False,,True,3.1866649491033003,False,,
MAIN,0.0,0.05,COR-2000,93,79,False,False,False,,True,3.0693250453212246,False,,
MAIN,0.0,0.05,COR-2000,94,97,False,False,False,,True,2.972900582230579,False,,
MAIN,0.0,0.05,COR-2000,95,101,False,False,False,,True,2.9370160592702,False,,
MAIN,0.0,0.05,COR-2000,96,91,False,False,False,,True,2.917502436571347,False,,
MAIN,0.0,0.05,COR-2000,97,105,False,False,False,,True,3.0857857709866234,False,,
MAIN,0.0,0.05,COR-2000,98,113,False,False,False,,True,3.002779532875282,False,,
MAIN,0.0,0.05,COR-2000,99,84,False,False,False,,True,3.1692597120797794,False,,
MAIN,0.0,0.05,COR-2000,100,109,False,False,False,,True,2.7652595727557996,False,,
MAIN,0.0,0.05,COR-2000,101,102,False,False,False,,True,2.851443485269137,False,,
MAIN,0.0,0.05,COR-2000,102,118,False,False,False,,True,2.804537238389606,False,,
MAIN,0.0,0.05,COR-2000,103,102,False,False,False,,True,2.8431584718623895,False,,
MAIN,0.0,0.05,COR-2000,104,87,False,False,False,,True,3.131254427584447,False,,
MAIN,0.0,0.05,COR-2000,105,109,False,False,False,,True,2.8709211904782532,False,,
MAIN,0.0,0.05,COR-2000,106,103,False,False,False,,True,3.050302207543064,False,,
