scenario,estimand,design,cov_lb90,wilson_lo,wilson_hi,learned,n_fits,cluster_se,cluster_lo,cluster_hi,fit_cov_min,fit_cov_p10,fit_cov_p50,design_effect
S6,dollars,EQ-P/DIFF(COR-2000),0.8103,0.8024969448896353,0.8178647369666627,True,200.0,0.003841004631982962,0.8027716309213134,0.8178283690786866,0.66,0.74,0.82,0.9597905994919114
S6,dollars,RA-EST/DIFF(COR-2000),0.8732,0.8665344878229928,0.8795788852636022,True,200.0,0.0031269295550445412,0.8670712180721126,0.8793287819278873,0.72,0.82,0.88,0.8830864359644438
S6,dollars,DEF-0.5/DIFF(COR-2000),0.8645,0.8576516209378832,0.8710684339658251,True,200.0,0.0033232468835833174,0.8579864361081767,0.8710135638918234,0.72,0.8,0.87,0.9428029212326502
S6,dollars,RA-EST(MIS-G-2000)/HT,0.9136,0.9079332448355436,0.9189491000428477,True,200.0,0.002813320790337769,0.908085891250938,0.919114108749062,0.76,0.86,0.92,1.0026946042399836
S6,dollars,DEF-0.5(MIS-G-2000)/HT,0.9154,0.9097847994888586,0.9206961629446129,True,200.0,0.0026436992507929513,0.9102183494684458,0.9205816505315542,0.78,0.86,0.92,0.9024908860061448
S6,dollars,SRSWOR/EXP,0.9504,0.9459688484814327,0.9544852330785952,False,,,,,,,,
S6,dollars,SRSWOR/DIFF(COR-2000),0.8038,0.7959003740062222,0.8114663000122867,True,200.0,0.003988400266199104,0.7959827354782497,0.8116172645217502,0.66,0.72,0.8,1.0086731681125942
S6,dollars,ST-PROP/EXP,0.8908,0.8845362159867948,0.8967636398605828,False,,,,,,,,
S6,dollars,ST-EQD/EXP,0.9024,0.8964277860715694,0.908063160686324,False,,,,,,,,
S6,dollars,CPS-RA-OR/HT,0.8754,0.8687822892767848,0.8817293941549079,False,,,,,,,,
S6,dollars,CPS-RA-EST(COR-2000)/HT,0.877,0.8704174661070049,0.883292988484759,True,20.0,0.0034412360080584297,0.8702551774242054,0.8837448225757946,0.848,0.8578,0.879,1.0978024921580332
S7,rate,EQ-P/HT,0.905,0.899096461305407,0.9105924885876021,False,,,,,,,,
S7,rate,PPS-A/HT,0.9347,0.929688855006569,0.9393772845452606,False,,,,,,,,
S7,rate,RA-OR/HT,0.9107,0.9049516792851708,0.9161328928655916,False,,,,,,,,
S7,rate,RA-EST(COR-2000)/HT,0.9091,0.9033074420098338,0.9145783589808575,True,200.0,0.0029460731039246697,0.9033256967163077,0.9148743032836923,0.8,0.86,0.92,1.050295482417582
S7,rate,DEF-0.5(COR-2000)/HT,0.9118,0.9060824048379057,0.9172013224854059,True,200.0,0.002807706551689832,0.9062968951586879,0.9173031048413122,0.78,0.86,0.92,0.9802464040879509
S7,rate,EQ-P/DIFF(COR-2000),0.8946,0.8884291812731699,0.9004677560793766,True,200.0,0.0031502093732762243,0.8884255896283786,0.9007744103716213,0.78,0.84,0.9,1.0524690516573378
S7,rate,RA-EST/DIFF(COR-2000),0.8937,0.8875069468980821,0.8995906816769246,True,200.0,0.0029419082447627453,0.8879338598402651,0.899466140159735,0.78,0.84,0.9,0.911031145119739
S7,rate,DEF-0.5/DIFF(COR-2000),0.8959,0.889761539642424,0.9017343992776804,True,200.0,0.002961384641510601,0.8900956861026392,0.9017043138973608,0.78,0.84,0.9,0.940328010973555
S7,rate,RA-EST(MIS-G-2000)/HT,0.9119,0.9061852108728586,0.9172984396479572,True,200.0,0.0028145262103851016,0.9063835286276453,0.9174164713723548,0.78,0.86,0.92,0.9860239654970337
S7,rate,DEF-0.5(MIS-G-2000)/HT,0.9103,0.9045405698538994,0.9157443095068453,True,200.0,0.002763645905948758,0.9048832540243404,0.9157167459756596,0.78,0.86,0.92,0.9353794194873623
S7,rate,SRSWOR/EXP,0.9021,0.8961199442898148,0.9077712328755653,False,,,,,,,,
S7,rate,SRSWOR/DIFF(COR-2000),0.8987,0.8926322270009097,0.9044615614493192,True,200.0,0.003173627191044766,0.8924796907055523,0.9049203092944478,0.76,0.84,0.9,1.1063374910780635
