scenario,dgp,sigma,prevalence,n,estimand,design,R,true_total,bias,rel_bias,mc_se_bias,emp_var,rmse,mean_var_hat,cov_lb90,cov_lb90_lo,cov_lb90_hi,cov_2s95,mean_lb_shortfall,mean_width95,mean_size,sd_size,zero_error_freq,var_estimator
S8,STRATCAP,1.5,0.25,100,rate,DEF-0.5(STRAT-2000)/HT,10000,4985.0,-0.30939215833950584,-6.206462554453477e-05,9.225658943022632,851127.8293297348,922.51981673583,867692.7356743452,0.9277,0.922457989353658,0.9326135263728603,0.9447,1187.2239982026895,3630.458489718122,99.9272,9.999775005468873,0.0,
S8,STRATCAP,1.5,0.25,100,rate,EQ-P/DIFF(STRAT-2000),10000,4985.0,-3.105660440698557,-0.0006230010914139533,7.178866517992458,515361.24483153154,717.8574745963306,529341.061144325,0.9169,0.9113283225421382,0.9221514878539001,0.9517,926.0801397272855,2823.135309865711,99.8508,9.99152337534172,0.0,
S8,STRATCAP,1.5,0.25,100,rate,RA-EST/DIFF(STRAT-2000),10000,4985.0,-0.2709414889723121,-5.435135185001245e-05,7.025734920113959,493609.51167708705,702.5384147042848,506913.6862043252,0.9192,0.913696078688033,0.9243819652506076,0.95,900.396071485918,2753.245181552627,99.9189,9.932337226957209,0.0,
S8,STRATCAP,1.5,0.25,100,rate,DEF-0.5/DIFF(STRAT-2000),10000,4985.0,-0.8305724311503582,-0.00016661432921772482,7.028005006114122,493928.5436596516,702.7658505191107,511939.1990003741,0.9183,0.9127694158898937,0.9235093192712068,0.9497,906.8328364910765,2771.221783361636,99.8819,9.96534757998937,0.0,
S8,STRATCAP,1.5,0.25,100,rate,SRSWOR/EXP,10000,4985.0,-12.38000000000011,-0.002483450351053181,8.655872340359306,749241.2597259728,865.6324855272011,743499.0159595959,0.9003,0.8942732435085223,0.9060193161017778,0.9458,1115.4465983632876,3373.9895661902847,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,rate,SRSWOR/DIFF(STRAT-2000),10000,4985.0,-13.746192838028037,-0.0027575111009083323,7.298859273295785,532733.4669137588,729.9788705055837,528030.1321675832,0.9127,0.9070077367590588,0.9180752993417927,0.9434,936.481629151891,2822.4041405083576,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,rate,ST-PROP/EXP,10000,4985.0,-7.502579835526376,-0.0015050310602861335,6.873023890432568,472384.57398456836,687.3089729018226,465242.35833527544,0.9118,0.9060824048379057,0.9172013224854059,0.9423,877.5645928780187,2661.2900420515416,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,rate,ST-EQD/EXP,10000,4985.0,-16.925984999999855,-0.003395383149448316,9.163788579223958,839750.2112471545,916.489348107358,826917.5751928552,0.9452,0.9405658653339477,0.9494922099558489,0.8754,1137.2958984614581,3426.91583980636,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,EQ-P/HT,10000,5984400.743887034,10528.194840814918,0.001759273031902032,18170.248812577665,3301579419109.8013,1816964.5302136464,3314548734392.0303,0.9499,0.9454487986700216,0.954005666902484,0.897,2194468.2488831216,6744502.104995341,99.9723,9.952925836657279,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,PPS-A/HT,10000,5984400.743887034,2850.737523475662,0.00047636140116245434,7762.705502700504,602595967216.5669,776236.97046989,593388557994.486,0.9173,0.911740016528771,0.9225394866572849,0.9451,982248.7460906261,3013159.2999961106,100.002,9.89560488297709,0.0,
